c Choco 231113
o 375000 0.1
o 369000 0.1
o 360000 0.2
o 359000 0.2
o 358000 0.2
o 357000 0.3
o 354000 0.3
o 351000 0.3
o 348000 0.3
o 345000 0.3
o 342000 0.3
o 339000 0.3
o 336000 0.3
o 333000 0.3
o 330000 0.3
o 327000 0.3
o 324000 0.3
o 321000 0.3
o 318000 0.3
o 315000 0.3
o 312000 0.3
o 309000 0.3
o 306000 0.3
o 303000 0.3
o 300000 0.3
o 297000 0.3
o 294000 0.3
o 291000 0.3
o 288000 0.3
o 285000 0.3
o 282000 0.3
o 244000 0.3
o 241000 0.3
o 238000 0.3
o 237000 0.3
o 234000 0.3
o 231000 0.3
o 230000 0.3
o 227000 0.3
o 224000 0.3
o 223000 0.3
o 220000 0.3
o 217000 0.3
o 216000 0.3
o 213000 0.3
o 210000 0.3
o 209000 0.3
o 208000 0.3
o 160000 0.3
o 159000 0.3
o 158000 0.3
o 157000 0.3
o 156000 0.3
o 155000 0.3
o 154000 0.3
o 153000 0.3
o 152000 0.3
o 149000 0.3
o 146000 0.3
o 143000 0.3
o 140000 0.3
o 137000 0.3
o 134000 0.3
o 131000 0.3
o 128000 0.3
o 125000 0.3
o 122000 0.3
o 119000 0.3
o 118000 0.3
o 117000 0.3
o 116000 0.3
o 115000 0.3
o 112000 0.3
o 109000 0.3
o 106000 0.4
o 105000 0.4
o 102000 0.4
o 101000 0.4
o 98000 0.4
o 97000 0.4
o 94000 0.4
o 93000 0.4
o 90000 0.4
o 89000 0.4
o 86000 0.4
o 85000 0.4
o 82000 0.4
o 81000 0.4
o 80000 0.4
o 77000 0.4
o 74000 0.4
o 73000 0.4
o 70000 0.4
s OPTIMUM FOUND
v <instantiation id='sol93' type='solution' cost='70000' ><list>x[0] x[1] x[2] x[3] x[4] x[5] x[6] x[7] x[8] x[9] e[0] e[1] e[2] e[3] e[4] e[5] e[6] e[7] e[8] e[9] t[0] t[1] t[2] t[3] t[4] t[5] t[6] t[7] t[8] t[9] </list><values>165 258 98 106 118 126 134 142 150 180 0 0 0 0 5 9 4 0 0 0 10 0 0 0 0 0 0 2 0 0 </values></instantiation>
d FOUND SOLUTIONS 93

