c Choco 231113
o 375000 0.1
o 360000 0.1
o 358000 0.3
o 357000 0.3
o 354000 0.3
o 345000 0.3
o 306000 0.3
o 285000 0.3
o 282000 0.3
o 276000 0.3
o 238000 0.3
o 237000 0.3
o 234000 0.3
o 231000 0.3
o 225000 0.3
o 216000 0.3
o 213000 0.3
o 211000 0.3
o 210000 0.3
o 209000 0.3
o 201000 0.3
o 188000 0.3
o 186000 0.3
o 156000 0.3
o 141000 0.3
o 139000 0.3
o 136000 0.3
o 133000 0.3
o 130000 0.3
o 124000 0.3
o 122000 0.3
o 120000 0.3
o 118000 0.3
o 115000 0.3
o 112000 0.3
o 111000 0.3
o 110000 0.3
o 109000 0.3
o 108000 0.3
o 106000 0.3
o 105000 0.3
o 104000 0.3
o 80000 0.3
o 74000 0.3
o 71000 0.4
o 70000 0.4
s OPTIMUM FOUND
v <instantiation id='sol46' type='solution' cost='70000' ><list>x[0] x[1] x[2] x[3] x[4] x[5] x[6] x[7] x[8] x[9] e[0] e[1] e[2] e[3] e[4] e[5] e[6] e[7] e[8] e[9] t[0] t[1] t[2] t[3] t[4] t[5] t[6] t[7] t[8] t[9] </list><values>165 258 98 106 118 134 126 142 150 180 0 0 0 0 5 1 12 0 0 0 10 0 0 0 0 0 0 2 0 0 </values></instantiation>
d FOUND SOLUTIONS 46

