c Choco 231113
o 375000 0.1
o 360000 0.1
o 359000 0.6
o 358000 0.6
o 355000 0.6
o 352000 0.6
o 349000 0.6
o 346000 0.6
o 343000 0.6
o 340000 0.6
o 337000 0.6
o 334000 0.6
o 333000 0.6
o 330000 0.6
o 294000 0.6
o 290000 0.6
o 288000 0.6
o 287000 0.6
o 286000 0.6
o 253000 0.6
o 250000 0.6
o 247000 0.6
o 244000 0.6
o 241000 0.7
o 238000 0.7
o 235000 0.7
o 232000 0.7
o 229000 0.7
o 226000 0.7
o 223000 0.7
o 220000 0.7
o 172000 0.7
o 168000 0.7
o 166000 0.7
o 165000 0.7
o 164000 0.7
o 149000 0.7
o 143000 0.7
o 140000 0.7
o 137000 0.7
o 134000 0.7
o 131000 0.7
o 119000 0.7
o 113000 0.7
o 110000 0.7
o 107000 0.7
o 101000 0.7
o 95000 0.7
o 93000 0.7
o 92000 0.7
o 91000 0.7
o 73000 0.7
o 72000 0.7
o 71000 0.7
o 70000 0.7
s OPTIMUM FOUND
v <instantiation id='sol55' type='solution' cost='70000' ><list>x[0] x[1] x[2] x[3] x[4] x[5] x[6] x[7] x[8] x[9] e[0] e[1] e[2] e[3] e[4] e[5] e[6] e[7] e[8] e[9] t[0] t[1] t[2] t[3] t[4] t[5] t[6] t[7] t[8] t[9] </list><values>165 258 98 106 118 126 134 142 150 180 0 0 0 0 5 9 4 0 0 0 10 0 0 0 0 0 0 2 0 0 </values></instantiation>
d FOUND SOLUTIONS 55

