c Choco 231113
o 375000 0.1
o 360000 0.1
o 323000 0.4
o 317000 0.4
o 314000 0.4
o 299000 0.4
o 274000 0.4
o 262000 0.4
o 256000 0.4
o 253000 0.4
o 252000 0.4
o 231000 0.4
o 219000 0.4
o 213000 0.4
o 183000 0.4
o 180000 0.4
o 177000 0.4
o 176000 0.4
o 170000 0.4
o 167000 0.4
o 164000 0.4
o 158000 0.4
o 153000 0.4
o 151000 0.4
o 150000 0.4
o 126000 0.4
o 123000 0.4
o 99000 0.4
o 93000 0.4
o 90000 0.4
o 87000 0.4
o 84000 0.4
o 83000 0.4
o 81000 0.5
o 78000 0.5
o 77000 0.5
o 74000 0.5
o 73000 0.5
o 72000 0.5
o 71000 0.5
o 70000 0.7
s OPTIMUM FOUND
v <instantiation id='sol41' type='solution' cost='70000' ><list>x[0] x[1] x[2] x[3] x[4] x[5] x[6] x[7] x[8] x[9] e[0] e[1] e[2] e[3] e[4] e[5] e[6] e[7] e[8] e[9] t[0] t[1] t[2] t[3] t[4] t[5] t[6] t[7] t[8] t[9] </list><values>165 258 98 106 118 126 134 142 150 180 0 0 0 0 5 9 4 0 0 0 10 0 0 0 0 0 0 2 0 0 </values></instantiation>
d FOUND SOLUTIONS 41

