c Choco 231113
o 424000 0.1
o 375000 0.1
o 360000 0.1
o 322000 0.6
o 303000 0.6
o 294000 0.6
o 289000 0.6
o 287000 0.6
o 286000 0.6
o 285000 0.6
o 272000 0.6
o 266000 0.6
o 263000 0.6
o 261000 0.6
o 255000 0.6
o 252000 0.6
o 250000 0.6
o 249000 0.6
o 231000 0.6
o 219000 0.6
o 213000 0.6
o 210000 0.6
o 207000 0.6
o 204000 0.6
o 165000 0.6
o 158000 0.6
o 155000 0.6
o 153000 0.6
o 152000 0.6
o 149000 0.6
o 148000 0.6
o 141000 0.6
o 138000 0.6
o 132000 0.6
o 129000 0.6
o 125000 0.6
o 123000 0.6
o 122000 0.6
o 119000 0.6
o 118000 0.6
o 115000 0.6
o 113000 0.6
o 110000 0.6
o 109000 0.6
o 106000 0.6
o 103000 0.6
o 102000 0.6
o 99000 0.6
o 96000 0.6
o 95000 0.6
o 92000 0.6
o 86000 0.6
o 85000 0.6
o 84000 0.6
o 81000 0.6
o 78000 0.6
o 75000 0.6
o 74000 0.6
o 71000 0.6
o 70000 0.7
s OPTIMUM FOUND
v <instantiation id='sol60' type='solution' cost='70000' ><list>x[0] x[1] x[2] x[3] x[4] x[5] x[6] x[7] x[8] x[9] e[0] e[1] e[2] e[3] e[4] e[5] e[6] e[7] e[8] e[9] t[0] t[1] t[2] t[3] t[4] t[5] t[6] t[7] t[8] t[9] </list><values>165 258 98 106 118 126 134 142 150 180 0 0 0 0 5 9 4 0 0 0 10 0 0 0 0 0 0 2 0 0 </values></instantiation>
d FOUND SOLUTIONS 60

