c Choco 231113
o 375000 0.1
o 360000 0.1
o 346000 1.0
o 339000 1.0
o 335000 1.0
o 333000 1.0
o 318000 1.0
o 312000 1.0
o 309000 1.0
o 285000 1.0
o 237000 1.0
o 234000 1.0
o 204000 1.0
o 198000 1.0
o 195000 1.0
o 192000 1.0
o 189000 1.0
o 186000 1.0
o 156000 1.0
o 153000 1.0
o 152000 1.0
o 149000 1.0
o 148000 1.0
o 145000 1.0
o 144000 1.0
o 141000 1.0
o 140000 1.0
o 137000 1.0
o 136000 1.0
o 130000 1.0
o 127000 1.0
o 124000 1.0
o 121000 1.1
o 120000 1.1
o 117000 1.1
o 116000 1.1
o 113000 1.1
o 112000 1.1
o 109000 1.1
o 108000 1.1
o 105000 1.1
o 104000 1.1
o 98000 1.1
o 95000 1.1
o 77000 1.1
o 74000 1.1
o 71000 1.2
o 70000 1.2
s OPTIMUM FOUND
v <instantiation id='sol48' type='solution' cost='70000' ><list>x[0] x[1] x[2] x[3] x[4] x[5] x[6] x[7] x[8] x[9] e[0] e[1] e[2] e[3] e[4] e[5] e[6] e[7] e[8] e[9] t[0] t[1] t[2] t[3] t[4] t[5] t[6] t[7] t[8] t[9] </list><values>165 258 98 106 118 134 126 142 150 180 0 0 0 0 5 1 12 0 0 0 10 0 0 0 0 0 0 2 0 0 </values></instantiation>
d FOUND SOLUTIONS 48

