c Choco 231113
o 375000 0.1
o 369000 0.1
o 360000 0.1
o 358000 0.2
o 357000 0.2
o 354000 0.2
o 291000 0.2
o 282000 0.2
o 276000 0.2
o 273000 0.2
o 267000 0.2
o 240000 0.2
o 237000 0.2
o 234000 0.2
o 228000 0.2
o 226000 0.2
o 217000 0.2
o 211000 0.2
o 208000 0.2
o 205000 0.2
o 202000 0.2
o 199000 0.2
o 196000 0.2
o 194000 0.2
o 191000 0.2
o 190000 0.2
o 187000 0.2
o 184000 0.2
o 169000 0.2
o 161000 0.2
o 145000 0.2
o 143000 0.2
o 142000 0.2
o 115000 0.2
o 109000 0.2
o 103000 0.2
o 101000 0.2
o 98000 0.2
o 95000 0.3
o 89000 0.3
o 88000 0.3
o 87000 0.3
o 84000 0.3
o 81000 0.3
o 80000 0.4
o 77000 0.4
o 74000 0.4
o 73000 0.4
o 70000 0.4
s OPTIMUM FOUND
v <instantiation id='sol49' type='solution' cost='70000' ><list>x[0] x[1] x[2] x[3] x[4] x[5] x[6] x[7] x[8] x[9] e[0] e[1] e[2] e[3] e[4] e[5] e[6] e[7] e[8] e[9] t[0] t[1] t[2] t[3] t[4] t[5] t[6] t[7] t[8] t[9] </list><values>165 258 98 106 118 134 126 142 150 180 0 0 0 0 5 1 12 0 0 0 10 0 0 0 0 0 0 2 0 0 </values></instantiation>
d FOUND SOLUTIONS 49

