c Choco 231113
o 424000 0.1
o 375000 0.1
o 360000 0.1
o 358000 0.2
o 356000 0.2
o 354000 0.2
o 314000 0.2
o 313000 0.2
o 312000 0.2
o 311000 0.2
o 310000 0.2
o 309000 0.2
o 308000 0.2
o 307000 0.2
o 306000 0.2
o 303000 0.2
o 300000 0.2
o 297000 0.2
o 294000 0.2
o 291000 0.2
o 253000 0.2
o 252000 0.2
o 251000 0.2
o 250000 0.2
o 249000 0.2
o 248000 0.2
o 247000 0.2
o 244000 0.3
o 241000 0.3
o 238000 0.3
o 235000 0.3
o 232000 0.3
o 229000 0.3
o 226000 0.3
o 223000 0.3
o 220000 0.3
o 217000 0.3
o 214000 0.3
o 211000 0.3
o 208000 0.3
o 205000 0.3
o 202000 0.3
o 199000 0.3
o 198000 0.4
o 197000 0.4
o 196000 0.4
o 195000 0.4
o 192000 0.4
o 189000 0.4
o 188000 0.4
o 185000 0.4
o 182000 0.4
o 181000 0.4
o 178000 0.4
o 175000 0.4
o 172000 0.4
o 169000 0.4
o 166000 0.4
o 163000 0.4
o 160000 0.4
o 157000 0.4
o 154000 0.4
o 151000 0.4
o 148000 0.4
o 145000 0.4
o 142000 0.4
o 139000 0.4
o 130000 0.4
o 127000 0.4
o 109000 0.4
o 97000 0.5
o 91000 0.5
o 82000 0.5
o 79000 0.6
o 76000 0.6
o 74000 0.7
o 73000 0.7
o 72000 0.7
o 71000 0.7
o 70000 0.7
s OPTIMUM FOUND
v <instantiation id='sol80' type='solution' cost='70000' ><list>x[0] x[1] x[2] x[3] x[4] x[5] x[6] x[7] x[8] x[9] e[0] e[1] e[2] e[3] e[4] e[5] e[6] e[7] e[8] e[9] t[0] t[1] t[2] t[3] t[4] t[5] t[6] t[7] t[8] t[9] </list><values>165 258 98 106 118 126 134 142 150 180 0 0 0 0 5 9 4 0 0 0 10 0 0 0 0 0 0 2 0 0 </values></instantiation>
d FOUND SOLUTIONS 80

