c Choco 231113
o 375000 0.1
o 360000 0.2
o 351000 1.2
o 348000 1.2
o 345000 1.2
o 342000 1.2
o 339000 1.2
o 336000 1.2
o 333000 1.2
o 330000 1.2
o 327000 1.2
o 324000 1.2
o 321000 1.2
o 303000 1.2
o 300000 1.2
o 297000 1.2
o 294000 1.2
o 291000 1.2
o 288000 1.2
o 285000 1.2
o 279000 1.2
o 276000 1.2
o 273000 1.2
o 270000 1.2
o 267000 1.2
o 264000 1.2
o 261000 1.2
o 258000 1.2
o 255000 1.2
o 252000 1.2
o 249000 1.2
o 246000 1.2
o 243000 1.2
o 240000 1.2
o 237000 1.2
o 234000 1.2
o 231000 1.2
o 228000 1.2
o 225000 1.2
o 222000 1.2
o 219000 1.2
o 216000 1.2
o 213000 1.2
o 210000 1.2
o 204000 1.2
o 198000 1.2
o 195000 1.2
o 192000 1.2
o 152000 1.2
o 150000 1.2
o 148000 1.2
o 147000 1.2
o 144000 1.2
o 141000 1.2
o 138000 1.2
o 135000 1.2
o 132000 1.2
o 86000 1.3
o 84000 1.3
o 82000 1.3
o 79000 1.3
o 76000 1.3
o 73000 1.3
o 70000 1.3
s OPTIMUM FOUND
v <instantiation id='sol64' type='solution' cost='70000' ><list>x[0] x[1] x[2] x[3] x[4] x[5] x[6] x[7] x[8] x[9] e[0] e[1] e[2] e[3] e[4] e[5] e[6] e[7] e[8] e[9] t[0] t[1] t[2] t[3] t[4] t[5] t[6] t[7] t[8] t[9] </list><values>165 258 98 106 118 134 126 142 150 180 0 0 0 0 5 1 12 0 0 0 10 0 0 0 0 0 0 2 0 0 </values></instantiation>
d FOUND SOLUTIONS 64

