c Choco 231113
o 375000 0.1
o 360000 0.1
o 342000 0.2
o 339000 0.2
o 330000 0.2
o 320000 0.2
o 313000 0.2
o 308000 0.2
o 290000 0.2
o 289000 0.2
o 288000 0.2
o 287000 0.2
o 285000 0.2
o 261000 0.2
o 243000 0.2
o 228000 0.2
o 186000 0.2
o 156000 0.2
o 153000 0.2
o 141000 0.2
o 137000 0.2
o 136000 0.2
o 133000 0.2
o 121000 0.2
o 120000 0.2
o 117000 0.2
o 116000 0.2
o 113000 0.2
o 112000 0.2
o 109000 0.2
o 82000 0.2
o 79000 0.2
o 70000 0.2
s OPTIMUM FOUND
v <instantiation id='sol33' type='solution' cost='70000' ><list>x[0] x[1] x[2] x[3] x[4] x[5] x[6] x[7] x[8] x[9] e[0] e[1] e[2] e[3] e[4] e[5] e[6] e[7] e[8] e[9] t[0] t[1] t[2] t[3] t[4] t[5] t[6] t[7] t[8] t[9] </list><values>165 258 98 106 118 134 126 142 150 180 0 0 0 0 5 1 12 0 0 0 10 0 0 0 0 0 0 2 0 0 </values></instantiation>
d FOUND SOLUTIONS 33

