c Choco 231113
o 302000 0.1
o 266000 0.1
o 236000 0.1
o 220000 0.1
o 190000 0.1
o 154000 0.1
o 142000 0.1
o 136000 0.1
o 130000 0.2
o 124000 0.2
o 121000 0.2
o 118000 0.2
o 115000 0.2
o 112000 0.2
o 109000 0.2
o 106000 0.2
o 104000 0.2
o 101000 0.2
o 98000 0.2
o 95000 0.2
o 92000 0.2
o 83000 0.2
o 80000 0.2
o 71000 0.2
o 70000 0.2
s OPTIMUM FOUND
v <instantiation id='sol25' type='solution' cost='70000' ><list>x[0] x[1] x[2] x[3] x[4] x[5] x[6] x[7] x[8] x[9] e[0] e[1] e[2] e[3] e[4] e[5] e[6] e[7] e[8] e[9] t[0] t[1] t[2] t[3] t[4] t[5] t[6] t[7] t[8] t[9] </list><values>165 258 98 106 118 134 126 142 150 180 0 0 0 0 5 1 12 0 0 0 10 0 0 0 0 0 0 2 0 0 </values></instantiation>
d FOUND SOLUTIONS 25

